sido_nm,sgg_nm,sido_sgg,value,x,y
강원도,강릉시,강원도 강릉시,77.21,11,4
강원도,고성군,강원도 고성군,37.11,9,0
강원도,동해시,강원도 동해시,89.32,11,5
강원도,삼척시,강원도 삼척시,75.13,11,8
강원도,속초시,강원도 속초시,90.11,9,1
강원도,양구군,강원도 양구군,74.10,8,0
강원도,양양군,강원도 양양군,26.71,10,2
강원도,영월군,강원도 영월군,52.10,10,8
강원도,원주시,강원도 원주시,85.71,10,7
강원도,인제군,강원도 인제군,65.94,9,2
강원도,정선군,강원도 정선군,37.39,11,6
강원도,철원군,강원도 철원군,70.00,6,0
강원도,춘천시,강원도 춘천시,88.78,10,3
강원도,태백시,강원도 태백시,55.62,11,7
강원도,평창군,강원도 평창군,30.80,10,6
강원도,홍천군,강원도 홍천군,68.01,10,4
강원도,화천군,강원도 화천군,41.97,7,0
강원도,횡성군,강원도 횡성군,58.65,10,5
경기도,가평군,경기도 가평군,52.19,9,3
경기도,고양시,경기도 고양시,85.90,4,2
경기도,과천시,경기도 과천시,74.78,7,7
경기도,광명시,경기도 광명시,94.29,3,3
경기도,광주시,경기도 광주시,79.73,8,7
경기도,구리시,경기도 구리시,88.75,9,4
경기도,군포시,경기도 군포시,95.33,5,8
경기도,김포시,경기도 김포시,83.88,2,3
경기도,남양주시,경기도 남양주시,82.85,8,3
경기도,동두천시,경기도 동두천시,91.42,7,2
경기도,부천시,경기도 부천시,96.42,2,4
경기도,성남시,경기도 성남시,88.49,7,8
경기도,수원시,경기도 수원시,90.91,6,9
경기도,시흥시,경기도 시흥시,87.12,3,5
경기도,안산시,경기도 안산시,86.59,3,6
경기도,안성시,경기도 안성시,76.10,4,8
경기도,안양시,경기도 안양시,90.10,3,4
경기도,양주시,경기도 양주시,84.38,8,2
경기도,양평군,경기도 양평군,41.94,9,6
경기도,여주시,경기도 여주시,54.70,9,7
경기도,연천군,경기도 연천군,70.05,7,1
경기도,오산시,경기도 오산시,83.54,3,8
경기도,용인시,경기도 용인시,79.85,7,9
경기도,의왕시,경기도 의왕시,88.49,6,8
경기도,의정부시,경기도 의정부시,88.25,7,3
경기도,이천시,경기도 이천시,74.51,8,8
경기도,파주시,경기도 파주시,71.27,3,2
경기도,평택시,경기도 평택시,86.50,5,9
경기도,포천시,경기도 포천시,73.90,8,1
경기도,하남시,경기도 하남시,88.15,9,5
경기도,화성시,경기도 화성시,85.35,3,7
경상남도,거제시,경상남도 거제시,81.00,9,20
경상남도,거창군,경상남도 거창군,78.00,6,15
경상남도,고성군,경상남도 고성군,57.82,7,19
경상남도,김해시,경상남도 김해시,89.54,8,19
경상남도,남해군,경상남도 남해군,48.09,6,19
경상남도,밀양시,경상남도 밀양시,70.48,8,16
경상남도,사천시,경상남도 사천시,77.98,6,18
경상남도,산청군,경상남도 산청군,43.18,5,18
경상남도,양산시,경상남도 양산시,86.72,8,17
경상남도,의령군,경상남도 의령군,54.29,7,16
경상남도,진주시,경상남도 진주시,82.21,6,17
경상남도,창녕군,경상남도 창녕군,63.74,7,15
경상남도,창원시,경상남도 창원시,86.85,7,18
경상남도,통영시,경상남도 통영시,78.73,8,20
경상남도,하동군,경상남도 하동군,20.12,5,19
경상남도,함안군,경상남도 함안군,54.88,7,17
경상남도,함양군,경상남도 함양군,65.89,6,16
경상남도,합천군,경상남도 합천군,41.73,7,14
경상북도,경산시,경상북도 경산시,87.25,11,12
경상북도,경주시,경상북도 경주시,77.07,12,12
경상북도,고령군,경상북도 고령군,50.21,7,13
경상북도,구미시,경상북도 구미시,88.61,9,10
경상북도,군위군,경상북도 군위군,39.84,9,11
경상북도,김천시,경상북도 김천시,75.10,8,11
경상북도,문경시,경상북도 문경시,61.97,9,8
경상북도,봉화군,경상북도 봉화군,31.97,11,9
경상북도,상주시,경상북도 상주시,62.80,8,9
경상북도,성주군,경상북도 성주군,24.63,8,12
경상북도,안동시,경상북도 안동시,83.32,10,10
경상북도,영덕군,경상북도 영덕군,47.30,12,10
경상북도,영양군,경상북도 영양군,49.86,11,10
경상북도,영주시,경상북도 영주시,71.56,10,9
경상북도,영천시,경상북도 영천시,71.84,10,12
경상북도,예천군,경상북도 예천군,81.03,9,9
경상북도,울릉군,경상북도 울릉군,28.18,13,6
경상북도,울진군,경상북도 울진군,67.29,12,9
경상북도,의성군,경상북도 의성군,36.49,10,11
경상북도,청도군,경상북도 청도군,48.15,8,13
경상북도,청송군,경상북도 청송군,37.43,11,11
경상북도,칠곡군,경상북도 칠곡군,84.64,9,12
경상북도,포항시,경상북도 포항시,90.08,12,11
광주광역시,광산구,광주광역시 광산구,87.13,2,19
광주광역시,남구,광주광역시 남구,85.53,2,21
광주광역시,동구,광주광역시 동구,84.87,3,20
광주광역시,북구,광주광역시 북구,93.43,3,19
광주광역시,서구,광주광역시 서구,89.36,2,20
대구광역시,남구,대구광역시 남구,93.42,9,14
대구광역시,달서구,대구광역시 달서구,90.78,8,15
대구광역시,달성군,대구광역시 달성군,89.81,9,15
대구광역시,동구,대구광역시 동구,91.54,11,13
대구광역시,북구,대구광역시 북구,91.64,9,13
대구광역시,서구,대구광역시 서구,91.98,8,14
대구광역시,수성구,대구광역시 수성구,95.20,10,14
대구광역시,중구,대구광역시 중구,93.48,10,13
대전광역시,대덕구,대전광역시 대덕구,89.84,5,12
대전광역시,동구,대전광역시 동구,95.00,5,13
대전광역시,서구,대전광역시 서구,90.13,4,14
대전광역시,유성구,대전광역시 유성구,84.95,4,13
대전광역시,중구,대전광역시 중구,89.77,5,14
부산광역시,강서구,부산광역시 강서구,95.02,8,18
부산광역시,금정구,부산광역시 금정구,93.78,10,15
부산광역시,기장군,부산광역시 기장군,88.02,12,16
부산광역시,남구,부산광역시 남구,84.74,11,19
부산광역시,동구,부산광역시 동구,72.73,10,17
부산광역시,동래구,부산광역시 동래구,88.74,11,16
부산광역시,부산진구,부산광역시 부산진구,87.48,10,16
부산광역시,북구,부산광역시 북구,88.85,9,16
부산광역시,사상구,부산광역시 사상구,88.13,9,17
부산광역시,사하구,부산광역시 사하구,89.72,9,19
부산광역시,서구,부산광역시 서구,69.62,9,18
부산광역시,수영구,부산광역시 수영구,98.78,11,18
