연월,pop_태백
2011년 01월,50737 
2011년 02월,50565 
2011년 03월,50781 
2011년 04월,50739 
2011년 05월,50650 
2011년 06월,50607 
2011년 07월,50535 
2011년 08월,50486 
2011년 09월,50424 
2011년 10월,50306 
2011년 11월,50265 
2011년 12월,50176 
2012년 01월,50082 
2012년 02월,49837 
2012년 03월,50146 
2012년 04월,50136 
2012년 05월,50056 
2012년 06월,50009 
2012년 07월,49985 
2012년 08월,49861 
2012년 09월,49793 
2012년 10월,49719 
2012년 11월,49646 
2012년 12월,49493 
2013년 01월,49354 
2013년 02월,49224 
2013년 03월,49280 
2013년 04월,49128 
2013년 05월,49230 
2013년 06월,49162 
2013년 07월,49127 
2013년 08월,49084 
2013년 09월,49009 
2013년 10월,48911 
2013년 11월,48896 
2013년 12월,48794 
2014년 01월,48712 
2014년 02월,48543 
2014년 03월,48895 
2014년 04월,48884 
2014년 05월,48827 
2014년 06월,48724 
2014년 07월,48645 
2014년 08월,48535 
2014년 09월,48480 
2014년 10월,48414 
2014년 11월,48363 
2014년 12월,48258 
2015년 01월,48128 
2015년 02월,48004 
2015년 03월,48095 
2015년 04월,48085 
2015년 05월,48079 
2015년 06월,47994 
2015년 07월,47868 
2015년 08월,47798 
2015년 09월,47755 
2015년 10월,47691 
2015년 11월,47642 
2015년 12월,47501 
2016년 01월,47394 
2016년 02월,47297 
2016년 03월,47422 
2016년 04월,47464 
2016년 05월,47371 
2016년 06월,47345 
2016년 07월,47287 
2016년 08월,47200 
2016년 09월,47173 
2016년 10월,47143 
2016년 11월,47167 
2016년 12월,47070 
2017년 01월,46892 
2017년 02월,46630 
2017년 03월,46514 
2017년 04월,46480 
2017년 05월,46384 
2017년 06월,46274 
2017년 07월,46210 
2017년 08월,46139 
2017년 09월,46158 
2017년 10월,46085 
2017년 11월,45987 
2017년 12월,45888 
2018년 01월,45691 
2018년 02월,45564 
2018년 03월,45602 
2018년 04월,45484 
2018년 05월,45518 
2018년 06월,45387 
2018년 07월,45284 
2018년 08월,45188 
2018년 09월,45117 
2018년 10월,44980 
2018년 11월,44947 
2018년 12월,44858 
2019년 01월,44687 
2019년 02월,44557 
2019년 03월,44525 
2019년 04월,44415 
2019년 05월,44392 
2019년 06월,44321 
2019년 07월,44240 
2019년 08월,44146 
2019년 09월,44092 
2019년 10월,44032 
2019년 11월,43975 
2019년 12월,43866 
2020년 01월,43681 
2020년 02월,43526 
2020년 03월,43411 
2020년 04월,43251 
2020년 05월,43254 
2020년 06월,43203 
2020년 07월,43098 
2020년 08월,42980 
2020년 09월,42937 
2020년 10월,42901 
2020년 11월,42800 
2020년 12월,42719 
2021년 01월,42586 
2021년 02월,42381 
2021년 03월,42249 
2021년 04월,42183 
2021년 05월,41718 
2021년 06월,41419 
2021년 07월,41341 
2021년 08월,41295 
2021년 09월,41145 
2021년 10월,41055 
2021년 11월,40982 
2021년 12월,40844 
2022년 01월,40750 
2022년 02월,40515 
2022년 03월,40331 
2022년 04월,40266 
2022년 05월,40163 
2022년 06월,40085 
2022년 07월,40029 
2022년 08월,39940 
2022년 09월,39637 
2022년 10월,39553 
2022년 11월,39503 
2022년 12월,39428 
2023년 01월,39286 
2023년 02월,39131 
2023년 03월,39050 
2023년 04월,39006 
2023년 05월,38929 
2023년 06월,38918 
2023년 07월,38860 
2023년 08월,38752 
2023년 09월,38729 
2023년 10월,38720 
2023년 11월,38708 
2023년 12월,38702 
2024년 01월,38613 
2024년 02월,38466 
2024년 03월,38354 
2024년 04월,38272 
2024년 05월,38206 
2024년 06월,38161 
2024년 07월,38137 
2024년 08월,38094 
2024년 09월,38103 
2024년 10월,38043 
2024년 11월,37997 
2024년 12월,37936 
2025년 01월,37875 
2025년 02월,37734 
2025년 03월,37715 
2025년 04월,37642 
2025년 05월,37584 
