연월,pop_화성
2011년 01월,507180
2011년 02월,508656
2011년 03월,510107
2011년 04월,512201
2011년 05월,513447
2011년 06월,514208
2011년 07월,515084
2011년 08월,515879
2011년 09월,516628
2011년 10월,516909
2011년 11월,517155
2011년 12월,516765
2012년 01월,517185
2012년 02월,517505
2012년 03월,518329
2012년 04월,519051
2012년 05월,520243
2012년 06월,521609
2012년 07월,522735
2012년 08월,523862
2012년 09월,524338
2012년 10월,524891
2012년 11월,525277
2012년 12월,525490
2013년 01월,525860
2013년 02월,526040
2013년 03월,526505
2013년 04월,527046
2013년 05월,527657
2013년 06월,527787
2013년 07월,527960
2013년 08월,528335
2013년 09월,528951
2013년 10월,529447
2013년 11월,529822
2013년 12월,530251
2014년 01월,530567
2014년 02월,530912
2014년 03월,532001
2014년 04월,533061
2014년 05월,534076
2014년 06월,535021
2014년 07월,535883
2014년 08월,536670
2014년 09월,537445
2014년 10월,538351
2014년 11월,539344
2014년 12월,540862
2015년 01월,542641
2015년 02월,548509
2015년 03월,556266
2015년 04월,561565
2015년 05월,565269
2015년 06월,568265
2015년 07월,572552
2015년 08월,578212
2015년 09월,582436
2015년 10월,586896
2015년 11월,591488
2015년 12월,596525
2016년 01월,601212
2016년 02월,606508
2016년 03월,610232
2016년 04월,613091
2016년 05월,616620
2016년 06월,619766
2016년 07월,622573
2016년 08월,626816
2016년 09월,630351
2016년 10월,633457
2016년 11월,636201
2016년 12월,640890
2017년 01월,644498
2017년 02월,649646
2017년 03월,655438
2017년 04월,658730
2017년 05월,661691
2017년 06월,664937
2017년 07월,668256
2017년 08월,673824
2017년 09월,678784
2017년 10월,683038
2017년 11월,686975
2017년 12월,691086
2018년 01월,696587
2018년 02월,707124
2018년 03월,715626
2018년 04월,722220
2018년 05월,726498
2018년 06월,729939
2018년 07월,733861
2018년 08월,738491
2018년 09월,742053
2018년 10월,747721
2018년 11월,753259
2018년 12월,758722
2019년 01월,765107
2019년 02월,771099
2019년 03월,775958
2019년 04월,781507
2019년 05월,786183
2019년 06월,790446
2019년 07월,795186
2019년 08월,799312
2019년 09월,803252
2019년 10월,807983
2019년 11월,811778
2019년 12월,815396
2020년 01월,818760
2020년 02월,822470
2020년 03월,827603
2020년 04월,831888
2020년 05월,834378
2020년 06월,836662
2020년 07월,839493
2020년 08월,842864
2020년 09월,846850
2020년 10월,850050
2020년 11월,853106
2020년 12월,855248
2021년 01월,857550
2021년 02월,859329
2021년 03월,860865
2021년 04월,864687
2021년 05월,867819
2021년 06월,870361
2021년 07월,872537
2021년 08월,875987
2021년 09월,878879
2021년 10월,881154
2021년 11월,884225
2021년 12월,887015
2022년 01월,887910
2022년 02월,889398
2022년 03월,890668
2022년 04월,892038
2022년 05월,894587
2022년 06월,896147
2022년 07월,897883
2022년 08월,899334
2022년 09월,900294
2022년 10월,904267
2022년 11월,907958
2022년 12월,910814
2023년 01월,914500
2023년 02월,918865
2023년 03월,922231
2023년 04월,925186
2023년 05월,928550
2023년 06월,930603
2023년 07월,932626
2023년 08월,934287
2023년 09월,937189
2023년 10월,939302
2023년 11월,941489
2023년 12월,944342
2024년 01월,946582
2024년 02월,948358
2024년 03월,949912
2024년 04월,951179
2024년 05월,952194
2024년 06월,953615
2024년 07월,956503
2024년 08월,958444
2024년 09월,961688
2024년 10월,965040
2024년 11월,966831
2024년 12월,968821
2025년 01월,971835
2025년 02월,975045
2025년 03월,976655
2025년 04월,977283
2025년 05월,978270
