시군구명,x,y,광역시도,행정구역,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
서울특별시 종로구,6,3,서울특별시,종로구,"186,378","184,225","181,231","177,519","174,372","169,315","166,793","165,846","170,705","168,603","170,578","168,382","165,207","160,070","156,993","154,986","152,737","154,770","153,065","151,290","149,384","144,683","141,379","139,417","138,336"
서울특별시 중구,6,4,서울특별시,중구,"141,010","143,016","138,134","134,548","131,971","130,027","130,649","130,044","130,362","129,465","132,822","133,193","133,360","130,465","128,065","125,733","125,249","125,709","125,725","126,171","125,240","122,499","120,437","121,312","120,544"
서울특별시 용산구,6,5,서울특별시,용산구,"240,087","241,033","234,653","231,871","230,107","230,260","232,035","235,832","238,224","238,708","244,853","246,501","243,232","239,740","235,951","233,342","230,241","229,161","228,999","228,670","230,040","222,953","218,650","213,151","203,854"
서울특별시 성동구,7,5,서울특별시,성동구,"340,790","341,375","340,773","339,368","339,113","337,744","334,437","333,535","314,212","308,058","309,093","300,711","299,604","299,337","296,086","297,003","299,259","304,808","308,221","300,889","293,556","285,990","281,000","277,361","273,669"
서울특별시 광진구,7,6,서울특별시,광진구,"391,309","388,109","386,511","384,929","380,537","375,613","374,442","376,572","375,482","373,998","375,463","371,936","371,313","368,927","363,354","360,369","357,215","357,703","355,559","351,350","346,682","339,996","337,416","335,554","331,963"
서울특별시 동대문구,7,4,서울특별시,동대문구,"380,444","381,799","381,841","382,875","379,404","381,110","378,860","376,421","370,250","362,146","366,786","365,486","363,258","364,273","363,687","360,153","355,069","350,647","348,052","346,194","342,837","337,400","336,644","341,149","338,735"
서울특별시 중랑구,8,4,서울특별시,중랑구,"458,440","448,928","442,125","436,089","433,858","427,373","426,078","427,071","427,871","424,761","427,455","423,706","419,295","416,798","418,836","413,909","411,005","408,226","403,209","397,015","394,702","387,350","385,318","382,155","379,274"
서울특별시 성북구,6,2,서울특별시,성북구,"460,862","450,602","443,809","453,057","451,122","462,879","472,843","469,973","473,357","476,028","488,932","485,171","481,857","476,589","466,706","459,275","450,355","444,055","435,868","442,650","437,153","430,528","430,397","425,602","421,560"
서울특별시 강북구,5,2,서울특별시,강북구,"351,995","351,404","361,896","360,663","360,525","353,260","348,990","345,478","342,274","340,367","346,520","345,054","343,157","338,707","335,025","330,873","327,195","324,479","319,164","313,954","308,055","299,182","293,660","288,113","283,597"
서울특별시 도봉구,5,1,서울특별시,도봉구,"370,976","371,259","371,911","376,599","381,939","381,529","377,534","375,975","373,936","369,733","368,298","365,573","362,270","358,582","353,709","351,242","348,220","344,166","339,413","333,362","325,257","317,366","311,694","306,948","303,228"
